variant,route,model_variant,learner_family,market_mode,feature_pack,calibration_mode,gender_profile,equal_gender_mean_brier,latest_season,equal_gender_latest_season_brier,men_mean_brier,women_mean_brier,men_latest_season_brier,women_latest_season_brier,men_recent_window_brier,women_recent_window_brier,equal_gender_recent_window_brier
spread-linear:none@base+basecal,spread,lr,linear,none,base,basecal,M_base|W_base,0.16150296556118615,2025,0.12746297582458122,0.18399693388643854,0.13900899723593374,0.14779336581007185,0.10713258583909056,0.19750756808515768,0.13777591470582845,0.16764174139549307
spread-linear:sportsbook@external_base_pruned+basecal,spread,lr,linear,sportsbook,external_base_pruned,basecal,men_external_pruned|women_external_pruned,0.16356096838607176,2025,0.13066174669433323,0.18516712182558223,0.14195481494656126,0.1448289838023001,0.11649450958636634,0.20405741749166267,0.13866365014998447,0.17136053382082356
spread-linear:none@external_base_pruned+basecal,spread,lr,linear,none,external_base_pruned,basecal,men_external_pruned|women_external_pruned,0.16361860337663642,2025,0.13192669065749127,0.18527810892675972,0.1419590978265131,0.14607588405359678,0.11777749726138577,0.2049453143010827,0.13868677770172452,0.1718160460014036
